Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	OAE:0000002	IAO:0000116	"The act of intervening, interfering or interceding with the intent of modifying the outcome. In medicine, an intervention is usually undertaken to help treat or cure a condition. For example, \""Acupuncture as a therapeutic intervention is widely practiced in the United States,\"" 
Reference:
http://www.medterms.com/script/main/art.asp?articlekey=34214 . Some interventions can be used for diagnosis. "
WARN	annotation_whitespace	OAE:0000030	IAO:0000116	YH: This term is just used as an example of vaccine induced adverse events. Specific vaccine-associated and vaccine-induced adverse events are now represented with the Ontology of Vaccine Adverse Events (OVAE).: http://www.violinet.org/ovae/. 
WARN	annotation_whitespace	OAE:0000086	IAO:0000115	"a skin adverse event that results in an inflammation of skin
"
WARN	annotation_whitespace	OAE:0000213	IAO:0000115	"an abnormal fluid regulation AE which has an outcome of extravasation, a discharge or escape, as of blood, from a vessel into the tissues.
"
WARN	annotation_whitespace	OAE:0000379	IAO:0000118	"increased leukocyte cell number AE
"
WARN	annotation_whitespace	OAE:0000399	IAO:0000115	a syndrome AE that has an outcome of a flu syndrome AE and occurs after a medical intervention. 
WARN	annotation_whitespace	OAE:0000408	IAO:0000117	"SJ, YH
"
WARN	annotation_whitespace	OAE:0000415	IAO:0000115	a hair AE that has an outcome of alopecia and occurs after a medical intervention. 
WARN	annotation_whitespace	OAE:0000474	IAO:0000118	angioneurotic edema 
WARN	annotation_whitespace	OAE:0000474	IAO:0000119	"WEB: http://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/basics/definition/con-20014815
"
WARN	annotation_whitespace	OAE:0000490	IAO:0000115	a syndrome AE that has an outcome of an acute brain syndrome AE and occurs after a medical intervention. 
WARN	annotation_whitespace	OAE:0000628	IAO:0000115	an adverse event that is indicated by an abnormal result of an investigation that uses some laboratory equipment, device, or medical technology. 
WARN	annotation_whitespace	OAE:0000628	IAO:0000116	This term is used to replace 'lab test abnormal AE'. The reason for this is that some test, like X-ray test, is not considered by many physicians as a lab test. Therefore, we have used this new term to cover a broader scope. All terms asserted under this term represent the investigation results without defined conclusion of disease. 
WARN	annotation_whitespace	OAE:0000934	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Coagulopathy
"
WARN	annotation_whitespace	OAE:0000974	IAO:0000118	"esophageal reflux AE
"
WARN	annotation_whitespace	OAE:0000995	IAO:0000118	tonic seizure 
WARN	annotation_whitespace	OAE:0001230	IAO:0000115	"a gastrointestinal investigation result abnormal AE that results in blood  that is present in amounts too small to be seen and can be detected only by chemical analysis or microscopic examination
"
WARN	annotation_whitespace	OAE:0001277	IAO:0000116	The AE risk difference depends on both the background incidence of the adverse event (i.e., among nonrecipients) and the relative risk of its occurence in medical intervention recipients versus nonrecipients. Even when the AE rlative risk is high, the AE risk difference will be low if the event is extremely rare. 
WARN	annotation_whitespace	OAE:0001328	IAO:0000117	"SZ, SS, EB
"
WARN	annotation_whitespace	OAE:0001340	IAO:0000116	[SS] moved by relation 'SubclassOf' from lung disorder AE to arterial embolism on 01/07/14 
WARN	annotation_whitespace	OAE:0001365	IAO:0000116	As shown on the renal.org website (http://www.renal.org/guidelines/modules/acute-kidney-injury), Acute kidney injury (AKI) has now replaced the term acute renal failure. 
WARN	annotation_whitespace	OAE:0001365	IAO:0000119	WEB: http://www.mayoclinic.org/diseases-conditions/kidney-failure/basics/definition/con-20024029 
WARN	annotation_whitespace	OAE:0001625	IAO:0000117	"EB
"
WARN	annotation_whitespace	OAE:0001638	IAO:0000115	"an investigation result abnormal AE that results from an abnormal toxicology screen
"
WARN	annotation_whitespace	OAE:0001645	IAO:0000115	"an investigation result abnormal AE that involves an abnormal result of an investigation related to chromosomal abnormalities and pathologic conditions

"
