ontology ID,label,entity type,Parent,alternative term,Chinese translation,definition,definition source,editor note,has_MedDRA_id,term editor,obsolete,has obsolescence reason (AI),replacement term
ID,LABEL,TYPE,C %,A alternative term SPLIT=|,A Chinese translation SPLIT=|,A http://purl.obolibrary.org/obo/IAO_0000115,A definition source SPLIT=|,A editor note SPLIT=|,A has_MedDRA_id,A term editor SPLIT=|,AT deprecated^^xsd:boolean,,AI term replaced by
OAE:0002636,obsolete accessory nerve disorder AE,Class,obsolete class,,,cranial neuropathy AE that has  involvement of the accessory nerve (eleventh cranial nerve).,,,10060929,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004738
OAE:0000251,obsolete acquired immunodeficiency syndrome AE,Class,obsolete class,,,a immune system disorder AE that is caused by the HIV virus,WEB: http://www.nlm.nih.gov/medlineplus/hivaids.html,,10000565,"DJ, SS, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0006759
OAE:0007458,obsolete adrenal neoplasm AE,Class,obsolete class,,肾上腺肿瘤,This is an AE which is a type of abnormal and excessive growth of adrenal  tissue.,http://en.volupedia.org/wiki/Neoplasm,,10061588,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000265
OAE:0007459,obsolete adrenal suppression AE,Class,obsolete class,,肾上腺抑制,"This is an AE which is a condition in which the adrenal glands do not produce adequate amounts of steroid hormones, primarily cortisol; but may also include impaired production of aldosterone (a mineralocorticoid), which regulates sodium conservation, potassium secretion, and water retention.",http://en.volupedia.org/wiki/Adrenal_insufficiency,,10001382,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000266
OAE:0006769,obsolete agranulocytosis AE,Class,obsolete class,,粒细胞减少症,"This is an AE which is an acute condition involving a severe and dangerous lowered white blood cell count (leukopenia, most commonly of neutrophils) and thus causing a neutropenia in the circulating blood.",http://en.volupedia.org/wiki/Agranulocytosis,,10001507,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000268
OAE:0007631,obsolete alkalosis AE,Class,obsolete class,,碱毒症,This is an AE which is the result of a process reducing hydrogen ion concentration of arterial blood plasma (alkalemia).,http://en.volupedia.org/wiki/Alkalosis,,10001680,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002670
OAE:0006439,obsolete anemia AE,Class,obsolete class,,贫血,This is an AE which is a decrease in the total amount of red blood cells (RBCs) or hemoglobin in the blood or a lowered ability of the blood to carry oxygen.,http://en.volupedia.org/wiki/Anemia,,10002034,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000550
OAE:0004971,obsolete aphasia AE,Class,obsolete class,,失语症,This is an AE which is an inability to comprehend or formulate language because of damage to specific brain regions.,http://en.volupedia.org/wiki/Aphasia,,10002948,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002362
OAE:0000444,obsolete autism AE,Class,obsolete class,,,a behavior and neurological AE that has an outcome of autism,,"Autism is a brain development disorder characterized by impaired social interaction and communication, and by restricted and repetitive behavior.",,YH,true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001544
OAE:0004528,obsolete basilar artery thrombosis AE,Class,obsolete class,,,,,,10063093,"Jessica DeGuise, Oliver He",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0006417
OAE:0000703,obsolete behcet's syndrome AE,Class,obsolete class,,,an ulcer AE that is characterized by ulcers in the mouth that may decrease ocular functionality,WEB: http://medical-dictionary.thefreedictionary.com/behcet's+disease,,10004213,"DJ, SS, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0009125
